run_id	index	total	runs	algorithm	folder	returncode	elapsed_s
20260508-142929	88	225	10	g5	image_sources/photos/128x296	0	0.244
20260508-142929	89	225	10	brotli	image_sources/photos/128x296	0	0.295
20260508-142929	90	225	10	zstd	image_sources/photos/128x296	0	0.723
20260508-142929	77	225	10	heatshrink	image_sources/photos/1024x576	0	11.125
20260508-142929	93	225	10	g5	image_sources/photos/1360x480	0	0.053
20260508-142929	80	225	10	zstd	image_sources/photos/1024x576	0	8.484
20260508-142929	72	225	10	heatshrink	image_sources/generated/960x640	0	23.785
20260508-142929	76	225	10	zlib	image_sources/photos/1024x576	0	13.385
20260508-142929	96	225	10	zlib	image_sources/photos/152x296	0	1.028
20260508-142929	98	225	10	g5	image_sources/photos/152x296	0	0.233
20260508-142929	97	225	10	heatshrink	image_sources/photos/152x296	0	0.949
20260508-142929	99	225	10	brotli	image_sources/photos/152x296	0	0.345
20260508-142929	71	225	10	zlib	image_sources/generated/960x640	0	28.904
20260508-142929	100	225	10	zstd	image_sources/photos/152x296	0	0.866
20260508-142929	103	225	10	g5	image_sources/photos/1600x1200	0	0.081
20260508-142929	94	225	10	brotli	image_sources/photos/1360x480	0	3.559
20260508-142929	75	225	10	zstd	image_sources/generated/960x640	0	22.137
20260508-142929	95	225	10	zstd	image_sources/photos/1360x480	0	9.117
20260508-142929	92	225	10	heatshrink	image_sources/photos/1360x480	0	12.059
20260508-142929	108	225	10	g5	image_sources/photos/1872x1404	0	0.073
20260508-142929	91	225	10	zlib	image_sources/photos/1360x480	0	14.420
20260508-142929	104	225	10	brotli	image_sources/photos/1600x1200	0	9.583
20260508-142929	111	225	10	zlib	image_sources/photos/200x200	0	0.930
20260508-142929	112	225	10	heatshrink	image_sources/photos/200x200	0	0.888
20260508-142929	113	225	10	g5	image_sources/photos/200x200	0	0.191
20260508-142929	114	225	10	brotli	image_sources/photos/200x200	0	0.300
20260508-142929	115	225	10	zstd	image_sources/photos/200x200	0	0.716
20260508-142929	31	225	10	zlib	image_sources/generated/1872x1404	0	114.978
20260508-142929	109	225	10	brotli	image_sources/photos/1872x1404	0	13.203
20260508-142929	118	225	10	g5	image_sources/photos/2560x1440	0	0.084
20260508-142929	105	225	10	zstd	image_sources/photos/1600x1200	0	26.839
20260508-142929	102	225	10	heatshrink	image_sources/photos/1600x1200	0	36.989
20260508-142929	119	225	10	brotli	image_sources/photos/2560x1440	0	16.766
20260508-142929	121	225	10	zlib	image_sources/photos/296x128	0	0.803
20260508-142929	123	225	10	g5	image_sources/photos/296x128	0	0.177
20260508-142929	122	225	10	heatshrink	image_sources/photos/296x128	0	0.777
20260508-142929	124	225	10	brotli	image_sources/photos/296x128	0	0.342
20260508-142929	125	225	10	zstd	image_sources/photos/296x128	0	0.732
20260508-142929	126	225	10	zlib	image_sources/photos/400x300	0	2.984
20260508-142929	128	225	10	g5	image_sources/photos/400x300	0	0.242
20260508-142929	127	225	10	heatshrink	image_sources/photos/400x300	0	2.715
20260508-142929	129	225	10	brotli	image_sources/photos/400x300	0	0.884
20260508-142929	130	225	10	zstd	image_sources/photos/400x300	0	2.109
20260508-142929	101	225	10	zlib	image_sources/photos/1600x1200	0	43.961
20260508-142929	133	225	10	g5	image_sources/photos/600x448	0	0.149
20260508-142929	134	225	10	brotli	image_sources/photos/600x448	0	1.500
20260508-142929	110	225	10	zstd	image_sources/photos/1872x1404	0	37.393
20260508-142929	131	225	10	zlib	image_sources/photos/600x448	0	6.108
20260508-142929	132	225	10	heatshrink	image_sources/photos/600x448	0	5.448
20260508-142929	138	225	10	g5	image_sources/photos/648x480	0	0.164
20260508-142929	135	225	10	zstd	image_sources/photos/600x448	0	3.977
20260508-142929	139	225	10	brotli	image_sources/photos/648x480	0	1.659
20260508-142929	45	225	10	zstd	image_sources/generated/2560x1440	0	125.021
20260508-142929	136	225	10	zlib	image_sources/photos/648x480	0	7.024
20260508-142929	143	225	10	g5	image_sources/photos/800x480	0	0.101
20260508-142929	140	225	10	zstd	image_sources/photos/648x480	0	4.473
20260508-142929	137	225	10	heatshrink	image_sources/photos/648x480	0	6.157
20260508-142929	144	225	10	brotli	image_sources/photos/800x480	0	2.103
20260508-142929	107	225	10	heatshrink	image_sources/photos/1872x1404	0	50.637
20260508-142929	148	225	10	g5	image_sources/photos/960x640	0	0.058
20260508-142929	142	225	10	heatshrink	image_sources/photos/800x480	0	7.162
20260508-142929	141	225	10	zlib	image_sources/photos/800x480	0	8.442
20260508-142929	145	225	10	zstd	image_sources/photos/800x480	0	5.541
20260508-142929	149	225	10	brotli	image_sources/photos/960x640	0	3.318
20260508-142929	153	225	10	g5	image_sources/stress/1024x576	0	0.088
20260508-142929	154	225	10	brotli	image_sources/stress/1024x576	0	1.287
20260508-142929	152	225	10	heatshrink	image_sources/stress/1024x576	0	6.094
20260508-142929	106	225	10	zlib	image_sources/photos/1872x1404	0	60.140
20260508-142929	157	225	10	heatshrink	image_sources/stress/122x250	0	0.523
20260508-142929	156	225	10	zlib	image_sources/stress/122x250	0	0.880
20260508-142929	159	225	10	brotli	image_sources/stress/122x250	0	0.244
20260508-142929	158	225	10	g5	image_sources/stress/122x250	0	0.375
20260508-142929	155	225	10	zstd	image_sources/stress/1024x576	0	4.828
20260508-142929	160	225	10	zstd	image_sources/stress/122x250	0	0.593
20260508-142929	147	225	10	heatshrink	image_sources/photos/960x640	0	11.640
20260508-142929	162	225	10	heatshrink	image_sources/stress/128x296	0	0.640
20260508-142929	164	225	10	brotli	image_sources/stress/128x296	0	0.304
20260508-142929	163	225	10	g5	image_sources/stress/128x296	0	0.506
20260508-142929	161	225	10	zlib	image_sources/stress/128x296	0	1.117
20260508-142929	168	225	10	g5	image_sources/stress/1360x480	0	0.110
20260508-142929	165	225	10	zstd	image_sources/stress/128x296	0	0.669
20260508-142929	150	225	10	zstd	image_sources/photos/960x640	0	9.113
20260508-142929	146	225	10	zlib	image_sources/photos/960x640	0	13.973
20260508-142929	151	225	10	zlib	image_sources/stress/1024x576	0	9.939
20260508-142929	172	225	10	heatshrink	image_sources/stress/152x296	0	0.691
20260508-142929	169	225	10	brotli	image_sources/stress/1360x480	0	1.406
20260508-142929	171	225	10	zlib	image_sources/stress/152x296	0	1.187
20260508-142929	174	225	10	brotli	image_sources/stress/152x296	0	0.316
20260508-142929	173	225	10	g5	image_sources/stress/152x296	0	0.495
20260508-142929	178	225	10	g5	image_sources/stress/1600x1200	0	0.149
20260508-142929	175	225	10	zstd	image_sources/stress/152x296	0	0.734
20260508-142929	179	225	10	brotli	image_sources/stress/1600x1200	0	3.528
20260508-142929	170	225	10	zstd	image_sources/stress/1360x480	0	5.995
20260508-142929	167	225	10	heatshrink	image_sources/stress/1360x480	0	6.905
20260508-142929	183	225	10	g5	image_sources/stress/1872x1404	0	0.138
20260508-142929	166	225	10	zlib	image_sources/stress/1360x480	0	10.986
20260508-142929	184	225	10	brotli	image_sources/stress/1872x1404	0	4.648
20260508-142929	186	225	10	zlib	image_sources/stress/200x200	0	0.967
20260508-142929	120	225	10	zstd	image_sources/photos/2560x1440	0	53.302
20260508-142929	187	225	10	heatshrink	image_sources/stress/200x200	0	0.583
20260508-142929	188	225	10	g5	image_sources/stress/200x200	0	0.344
20260508-142929	189	225	10	brotli	image_sources/stress/200x200	0	0.261
20260508-142929	190	225	10	zstd	image_sources/stress/200x200	0	0.653
20260508-142929	117	225	10	heatshrink	image_sources/photos/2560x1440	0	66.345
20260508-142929	193	225	10	g5	image_sources/stress/2560x1440	0	0.150
20260508-142929	180	225	10	zstd	image_sources/stress/1600x1200	0	15.869
20260508-142929	177	225	10	heatshrink	image_sources/stress/1600x1200	0	20.202
20260508-142929	196	225	10	zlib	image_sources/stress/296x128	0	0.933
20260508-142929	194	225	10	brotli	image_sources/stress/2560x1440	0	5.877
20260508-142929	197	225	10	heatshrink	image_sources/stress/296x128	0	0.510
20260508-142929	198	225	10	g5	image_sources/stress/296x128	0	0.234
20260508-142929	199	225	10	brotli	image_sources/stress/296x128	0	0.239
20260508-142929	200	225	10	zstd	image_sources/stress/296x128	0	0.674
20260508-142929	202	225	10	heatshrink	image_sources/stress/400x300	0	1.311
20260508-142929	42	225	10	heatshrink	image_sources/generated/2560x1440	0	167.658
20260508-142929	201	225	10	zlib	image_sources/stress/400x300	0	2.099
20260508-142929	203	225	10	g5	image_sources/stress/400x300	0	0.394
20260508-142929	204	225	10	brotli	image_sources/stress/400x300	0	0.443
20260508-142929	116	225	10	zlib	image_sources/photos/2560x1440	0	81.829
20260508-142929	208	225	10	g5	image_sources/stress/600x448	0	0.102
20260508-142929	205	225	10	zstd	image_sources/stress/400x300	0	1.999
20260508-142929	209	225	10	brotli	image_sources/stress/600x448	0	0.697
20260508-142929	207	225	10	heatshrink	image_sources/stress/600x448	0	2.994
20260508-142929	210	225	10	zstd	image_sources/stress/600x448	0	2.642
20260508-142929	206	225	10	zlib	image_sources/stress/600x448	0	4.701
20260508-142929	213	225	10	g5	image_sources/stress/648x480	0	0.175
20260508-142929	214	225	10	brotli	image_sources/stress/648x480	0	1.015
20260508-142929	185	225	10	zstd	image_sources/stress/1872x1404	0	21.460
20260508-142929	176	225	10	zlib	image_sources/stress/1600x1200	0	31.068
20260508-142929	212	225	10	heatshrink	image_sources/stress/648x480	0	3.671
20260508-142929	218	225	10	g5	image_sources/stress/800x480	0	0.129
20260508-142929	219	225	10	brotli	image_sources/stress/800x480	0	1.049
20260508-142929	211	225	10	zlib	image_sources/stress/648x480	0	5.856
20260508-142929	215	225	10	zstd	image_sources/stress/648x480	0	3.461
20260508-142929	182	225	10	heatshrink	image_sources/stress/1872x1404	0	27.762
20260508-142929	223	225	10	g5	image_sources/stress/960x640	0	0.138
20260508-142929	224	225	10	brotli	image_sources/stress/960x640	0	1.310
20260508-142929	217	225	10	heatshrink	image_sources/stress/800x480	0	4.391
20260508-142929	220	225	10	zstd	image_sources/stress/800x480	0	4.038
20260508-142929	216	225	10	zlib	image_sources/stress/800x480	0	6.978
20260508-142929	225	225	10	zstd	image_sources/stress/960x640	0	5.596
20260508-142929	222	225	10	heatshrink	image_sources/stress/960x640	0	6.718
20260508-142929	221	225	10	zlib	image_sources/stress/960x640	0	9.511
20260508-142929	195	225	10	zstd	image_sources/stress/2560x1440	0	27.921
20260508-142929	181	225	10	zlib	image_sources/stress/1872x1404	0	41.611
20260508-142929	192	225	10	heatshrink	image_sources/stress/2560x1440	0	36.307
20260508-142929	41	225	10	zlib	image_sources/generated/2560x1440	0	199.299
20260508-142929	191	225	10	zlib	image_sources/stress/2560x1440	0	51.371
20260508-182702	3	90	10	lz4	image_sources/generated/122x250	0	0.686
20260508-182702	9	90	10	lz4	image_sources/generated/152x296	0	0.707
20260508-182702	5	90	10	lz4	image_sources/generated/128x296	0	0.765
20260508-182702	4	90	10	lz4hc	image_sources/generated/122x250	0	0.841
20260508-182702	10	90	10	lz4hc	image_sources/generated/152x296	0	0.908
20260508-182702	6	90	10	lz4hc	image_sources/generated/128x296	0	0.918
20260508-182702	7	90	10	lz4	image_sources/generated/1360x480	0	1.080
20260508-182702	1	90	10	lz4	image_sources/generated/1024x576	0	1.166
20260508-182702	15	90	10	lz4	image_sources/generated/200x200	0	0.658
20260508-182702	19	90	10	lz4	image_sources/generated/296x128	0	0.530
20260508-182702	16	90	10	lz4hc	image_sources/generated/200x200	0	0.851
20260508-182702	11	90	10	lz4	image_sources/generated/1600x1200	0	1.775
20260508-182702	21	90	10	lz4	image_sources/generated/400x300	0	0.452
20260508-182702	20	90	10	lz4hc	image_sources/generated/296x128	0	1.002
20260508-182702	23	90	10	lz4	image_sources/generated/600x448	0	0.543
20260508-182702	25	90	10	lz4	image_sources/generated/648x480	0	0.615
20260508-182702	13	90	10	lz4	image_sources/generated/1872x1404	0	2.059
20260508-182702	27	90	10	lz4	image_sources/generated/800x480	0	0.674
20260508-182702	22	90	10	lz4hc	image_sources/generated/400x300	0	1.749
20260508-182702	29	90	10	lz4	image_sources/generated/960x640	0	0.708
20260508-182702	17	90	10	lz4	image_sources/generated/2560x1440	0	2.857
20260508-182702	31	90	10	lz4	image_sources/photos/1024x576	0	0.453
20260508-182702	33	90	10	lz4	image_sources/photos/122x250	0	0.174
