
===== [20260508-142929 8/225] g5 image_sources/generated/122x250 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
brotli q9-w10 menu-board-text-heavy.gray16.128x296.bs-od 128x296 18944 1555 8.21% 0.190
brotli q9-w12 menu-board-text-heavy.gray16.128x296.bs-od 128x296 18944 1525 8.05% 0.237
brotli q9-w15 menu-board-text-heavy.gray16.128x296.bs-od 128x296 18944 1525 8.05% 0.305
brotli q9-w10 menu-board-text-heavy.gray4.128x296.bs-od 128x296 9472 839 8.86% 0.135
brotli q9-w12 menu-board-text-heavy.gray4.128x296.bs-od 128x296 9472 846 8.93% 0.144
brotli q9-w15 menu-board-text-heavy.gray4.128x296.bs-od 128x296 9472 846 8.93% 0.152
brotli q9-w10 menu-board-text-heavy.mono.128x296.bs-od 128x296 4736 329 6.95% 0.072
brotli q9-w12 menu-board-text-heavy.mono.128x296.bs-od 128x296 4736 332 7.01% 0.077
brotli q9-w15 menu-board-text-heavy.mono.128x296.bs-od 128x296 4736 332 7.01% 0.072
brotli q9-w10 price-label-barcode-layout.gray16.128x296.bs-od 128x296 18944 458 2.42% 0.107
brotli q9-w12 price-label-barcode-layout.gray16.128x296.bs-od 128x296 18944 461 2.43% 0.099
brotli q9-w15 price-label-barcode-layout.gray16.128x296.bs-od 128x296 18944 461 2.43% 0.107
brotli q9-w10 price-label-barcode-layout.gray4.128x296.bs-od 128x296 9472 452 4.77% 0.088
brotli q9-w12 price-label-barcode-layout.gray4.128x296.bs-od 128x296 9472 450 4.75% 0.352
brotli q9-w15 price-label-barcode-layout.gray4.128x296.bs-od 128x296 9472 450 4.75% 0.097
brotli q9-w10 price-label-barcode-layout.mono.128x296.bs-od 128x296 4736 258 5.45% 0.047
brotli q9-w12 price-label-barcode-layout.mono.128x296.bs-od 128x296 4736 258 5.45% 0.070
brotli q9-w15 price-label-barcode-layout.mono.128x296.bs-od 128x296 4736 258 5.45% 0.063
brotli q9-w10 price-tag-electronics-promo.gray16.128x296.bs-od 128x296 18944 783 4.13% 0.189
brotli q9-w12 price-tag-electronics-promo.gray16.128x296.bs-od 128x296 18944 785 4.14% 0.195
brotli q9-w15 price-tag-electronics-promo.gray16.128x296.bs-od 128x296 18944 785 4.14% 0.154
brotli q9-w10 price-tag-electronics-promo.gray4.128x296.bs-od 128x296 9472 554 5.85% 0.138
brotli q9-w12 price-tag-electronics-promo.gray4.128x296.bs-od 128x296 9472 554 5.85% 0.141
brotli q9-w15 price-tag-electronics-promo.gray4.128x296.bs-od 128x296 9472 554 5.85% 0.109
brotli q9-w10 price-tag-electronics-promo.mono.128x296.bs-od 128x296 4736 365 7.71% 0.056
brotli q9-w12 price-tag-electronics-promo.mono.128x296.bs-od 128x296 4736 366 7.73% 0.064
brotli q9-w15 price-tag-electronics-promo.mono.128x296.bs-od 128x296 4736 366 7.73% 0.063
brotli q9-w10 price-tag-grocery-shelf.gray16.128x296.bs-od 128x296 18944 1563 8.25% 0.212
brotli q9-w12 price-tag-grocery-shelf.gray16.128x296.bs-od 128x296 18944 1573 8.30% 0.238
brotli q9-w15 price-tag-grocery-shelf.gray16.128x296.bs-od 128x296 18944 1573 8.30% 0.237
brotli q9-w10 price-tag-grocery-shelf.gray4.128x296.bs-od 128x296 9472 874 9.23% 0.189
brotli q9-w12 price-tag-grocery-shelf.gray4.128x296.bs-od 128x296 9472 877 9.26% 0.241
brotli q9-w15 price-tag-grocery-shelf.gray4.128x296.bs-od 128x296 9472 877 9.26% 0.177
brotli q9-w10 price-tag-grocery-shelf.mono.128x296.bs-od 128x296 4736 414 8.74% 0.077
brotli q9-w12 price-tag-grocery-shelf.mono.128x296.bs-od 128x296 4736 415 8.76% 0.078
brotli q9-w15 price-tag-grocery-shelf.mono.128x296.bs-od 128x296 4736 415 8.76% 0.074
brotli q9-w10 price-tag-warehouse-markdown.gray16.128x296.bs-od 128x296 18944 688 3.63% 0.186
brotli q9-w12 price-tag-warehouse-markdown.gray16.128x296.bs-od 128x296 18944 689 3.64% 0.156
brotli q9-w15 price-tag-warehouse-markdown.gray16.128x296.bs-od 128x296 18944 689 3.64% 0.179
brotli q9-w10 price-tag-warehouse-markdown.gray4.128x296.bs-od 128x296 9472 510 5.38% 0.114
brotli q9-w12 price-tag-warehouse-markdown.gray4.128x296.bs-od 128x296 9472 511 5.39% 0.120
