
===== [20260508-135727 1/45] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib l1-ws10 price-tag-electronics-promo.mono.128x296.bs-od 128x296 4736 428 9.04% 0.060
zlib l6-ws10 price-tag-electronics-promo.mono.128x296.bs-od 128x296 4736 390 8.23% 0.074
zlib l9-ws10 price-tag-electronics-promo.mono.128x296.bs-od 128x296 4736 385 8.13% 0.120
zlib l1-ws9 price-tag-grocery-shelf.gray16.128x296.bs-od 128x296 18944 1780 9.40% 0.441
zlib l6-ws9 price-tag-grocery-shelf.gray16.128x296.bs-od 128x296 18944 1619 8.55% 0.486
zlib l1-ws10 price-tag-grocery-shelf.gray16.128x296.bs-od 128x296 18944 1815 9.58% 0.236
zlib l6-ws10 price-tag-grocery-shelf.gray16.128x296.bs-od 128x296 18944 1629 8.60% 0.322
zlib l9-ws10 price-tag-grocery-shelf.gray16.128x296.bs-od 128x296 18944 1629 8.60% 0.528
zlib l1-ws9 price-tag-grocery-shelf.gray4.128x296.bs-od 128x296 9472 948 10.01% 0.236
zlib l6-ws9 price-tag-grocery-shelf.gray4.128x296.bs-od 128x296 9472 847 8.94% 0.478
zlib l1-ws10 price-tag-grocery-shelf.gray4.128x296.bs-od 128x296 9472 976 10.30% 0.121
zlib l6-ws10 price-tag-grocery-shelf.gray4.128x296.bs-od 128x296 9472 860 9.08% 0.276
zlib l9-ws10 price-tag-grocery-shelf.gray4.128x296.bs-od 128x296 9472 854 9.02% 0.313
zlib l1-ws9 price-tag-grocery-shelf.mono.128x296.bs-od 128x296 4736 473 9.99% 0.105
zlib l6-ws9 price-tag-grocery-shelf.mono.128x296.bs-od 128x296 4736 437 9.23% 0.123
zlib l1-ws10 price-tag-grocery-shelf.mono.128x296.bs-od 128x296 4736 478 10.09% 0.096
zlib l6-ws10 price-tag-grocery-shelf.mono.128x296.bs-od 128x296 4736 439 9.27% 0.124
zlib l9-ws10 price-tag-grocery-shelf.mono.128x296.bs-od 128x296 4736 439 9.27% 0.141
zlib l1-ws9 price-tag-warehouse-markdown.gray16.128x296.bs-od 128x296 18944 935 4.94% 0.409
zlib l6-ws9 price-tag-warehouse-markdown.gray16.128x296.bs-od 128x296 18944 755 3.99% 0.476
zlib l1-ws10 price-tag-warehouse-markdown.gray16.128x296.bs-od 128x296 18944 937 4.95% 0.218
zlib l6-ws10 price-tag-warehouse-markdown.gray16.128x296.bs-od 128x296 18944 732 3.86% 0.281
zlib l9-ws10 price-tag-warehouse-markdown.gray16.128x296.bs-od 128x296 18944 702 3.71% 0.509
zlib l1-ws9 price-tag-warehouse-markdown.gray4.128x296.bs-od 128x296 9472 641 6.77% 0.212
zlib l6-ws9 price-tag-warehouse-markdown.gray4.128x296.bs-od 128x296 9472 537 5.67% 0.238
zlib l1-ws10 price-tag-warehouse-markdown.gray4.128x296.bs-od 128x296 9472 660 6.97% 0.124
zlib l6-ws10 price-tag-warehouse-markdown.gray4.128x296.bs-od 128x296 9472 522 5.51% 0.141
zlib l9-ws10 price-tag-warehouse-markdown.gray4.128x296.bs-od 128x296 9472 509 5.37% 0.199
zlib l1-ws9 price-tag-warehouse-markdown.mono.128x296.bs-od 128x296 4736 547 11.55% 0.134
zlib l6-ws9 price-tag-warehouse-markdown.mono.128x296.bs-od 128x296 4736 509 10.75% 0.121
zlib l1-ws10 price-tag-warehouse-markdown.mono.128x296.bs-od 128x296 4736 561 11.85% 0.064
zlib l6-ws10 price-tag-warehouse-markdown.mono.128x296.bs-od 128x296 4736 508 10.73% 0.109
zlib l9-ws10 price-tag-warehouse-markdown.mono.128x296.bs-od 128x296 4736 506 10.68% 0.133
