status,algorithm,variant,input_file,output_file,width,height,input_bytes,compressed_bytes,ratio,avg_ms,runs,error
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray16.1024x576.zlib.l1-ws10.dat,1024,576,294912,17509,0.05937025,3.969909,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray16.1024x576.zlib.l6-ws10.dat,1024,576,294912,13133,0.04453193,4.607157,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray16.1024x576.zlib.l9-ws10.dat,1024,576,294912,11146,0.03779433,7.790233,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.zlib.l1-ws9.dat,1024,576,147456,12229,0.08293321,4.155726,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.zlib.l6-ws9.dat,1024,576,147456,9396,0.0637207,4.208822,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.zlib.l1-ws10.dat,1024,576,147456,11913,0.0807902,2.435138,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.zlib.l6-ws10.dat,1024,576,147456,8893,0.06030952,4.072819,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.zlib.l9-ws10.dat,1024,576,147456,7536,0.05110677,5.792024,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.l1-ws9.dat,1024,576,73728,6298,0.08542209,1.910557,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.l6-ws9.dat,1024,576,73728,3903,0.05293783,1.974713,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.l1-ws10.dat,1024,576,73728,6037,0.08188205,0.907493,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.l6-ws10.dat,1024,576,73728,3981,0.05399577,1.354164,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.l9-ws10.dat,1024,576,73728,3692,0.05007595,2.563308,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.l1-ws9.dat,1024,576,294912,96276,0.32645671,8.268898,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.l6-ws9.dat,1024,576,294912,87312,0.2960612,11.289576,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.l1-ws10.dat,1024,576,294912,97144,0.32939996,5.071013,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.l6-ws10.dat,1024,576,294912,85406,0.28959825,10.738294,3,
ok,zlib,l9-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.l9-ws10.dat,1024,576,294912,85315,0.28928969,12.355747,3,
ok,zlib,l1-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.zlib.l1-ws9.dat,1024,576,147456,51138,0.34680176,4.327446,3,
ok,zlib,l6-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.zlib.l6-ws9.dat,1024,576,147456,47511,0.32220459,5.979277,3,
ok,zlib,l1-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.zlib.l1-ws10.dat,1024,576,147456,51508,0.34931098,2.570344,3,
ok,zlib,l6-ws10,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.zlib.l6-ws10.dat,1024,576,147456,46748,0.31703016,5.502138,3,
