
===== [1/135] zlib image_sources/generated/1024x576 =====
algorithm variant file resolution input_bytes compressed_bytes ratio avg_ms
zlib l9-ws15 floorplan-thin-lines.gray4.122x250.bs-od 122x250 7750 258 3.33% 0.470
zlib current floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 162 4.05% 0.039
zlib l9-ws9 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 157 3.92% 0.102
zlib l9-ws12 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 159 3.98% 0.093
zlib l9-ws15 floorplan-thin-lines.mono.122x250.bs-od 122x250 4000 159 3.98% 0.112
zlib current menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 1586 10.40% 0.160
zlib l9-ws9 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 1576 10.33% 0.364
zlib l9-ws12 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 1591 10.43% 0.225
zlib l9-ws15 menu-board-text-heavy.gray16.122x250.bs-od 122x250 15250 1592 10.44% 0.246
zlib current menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 882 11.38% 0.062
zlib l9-ws9 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 862 11.12% 0.226
zlib l9-ws12 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 870 11.23% 0.644
zlib l9-ws15 menu-board-text-heavy.gray4.122x250.bs-od 122x250 7750 870 11.23% 0.689
zlib current menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 399 9.98% 0.057
zlib l9-ws9 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 402 10.05% 0.117
zlib l9-ws12 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 395 9.88% 0.170
zlib l9-ws15 menu-board-text-heavy.mono.122x250.bs-od 122x250 4000 395 9.88% 0.179
zlib current price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 524 3.44% 0.047
zlib l9-ws9 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 493 3.23% 0.400
zlib l9-ws12 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 513 3.36% 0.371
zlib l9-ws15 price-label-barcode-layout.gray16.122x250.bs-od 122x250 15250 513 3.36% 0.395
zlib current price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 417 5.38% 0.034
zlib l9-ws9 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 407 5.25% 0.169
zlib l9-ws12 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 408 5.26% 0.318
zlib l9-ws15 price-label-barcode-layout.gray4.122x250.bs-od 122x250 7750 408 5.26% 0.325
zlib current price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 264 6.60% 0.059
zlib l9-ws9 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 264 6.60% 0.117
zlib l9-ws12 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 258 6.45% 0.142
zlib l9-ws15 price-label-barcode-layout.mono.122x250.bs-od 122x250 4000 258 6.45% 0.146
zlib current price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 700 4.59% 0.052
zlib l9-ws9 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 665 4.36% 0.333
zlib l9-ws12 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 683 4.48% 0.418
zlib l9-ws15 price-tag-electronics-promo.gray16.122x250.bs-od 122x250 15250 683 4.48% 0.538
zlib current price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 500 6.45% 0.038
zlib l9-ws9 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 496 6.40% 0.186
zlib l9-ws12 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 498 6.43% 0.303
zlib l9-ws15 price-tag-electronics-promo.gray4.122x250.bs-od 122x250 7750 498 6.43% 0.343
zlib current price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 376 9.40% 0.051
zlib l9-ws9 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 377 9.43% 0.106
zlib l9-ws12 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 372 9.30% 0.137
zlib l9-ws15 price-tag-electronics-promo.mono.122x250.bs-od 122x250 4000 372 9.30% 0.158
zlib current price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 1496 9.81% 0.154
zlib l9-ws9 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 1482 9.72% 0.398
zlib l9-ws12 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 1500 9.84% 0.286
zlib l9-ws15 price-tag-grocery-shelf.gray16.122x250.bs-od 122x250 15250 1500 9.84% 0.363
zlib current price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 811 10.46% 0.083
zlib l9-ws9 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 799 10.31% 0.199
zlib l9-ws12 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 801 10.34% 0.503
zlib l9-ws15 price-tag-grocery-shelf.gray4.122x250.bs-od 122x250 7750 801 10.34% 0.607
zlib current price-tag-grocery-shelf.mono.122x250.bs-od 122x250 4000 380 9.50% 0.050
