status,algorithm,variant,input_file,output_file,width,height,input_bytes,compressed_bytes,ratio,avg_ms,runs,error
ok,zlib,l9-ws12,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.zlib.l9-ws12.dat,1024,576,147456,7388,0.05010308,9.474299,120,
ok,zlib,l9-ws15,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.gray4.1024x576.zlib.l9-ws15.dat,1024,576,147456,7300,0.04950629,9.369374,120,
ok,zlib,current,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.current.dat,1024,576,73728,4154,0.05634223,0.49672,120,
ok,zlib,l9-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.l9-ws9.dat,1024,576,73728,3755,0.05093045,2.289244,120,
ok,zlib,l9-ws12,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.l9-ws12.dat,1024,576,73728,3652,0.04953342,5.818624,120,
ok,zlib,l9-ws15,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/floorplan-thin-lines.mono.1024x576.zlib.l9-ws15.dat,1024,576,73728,3766,0.05107964,6.825345,120,
ok,zlib,current,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.current.dat,1024,576,294912,84835,0.28766208,14.265583,120,
ok,zlib,l9-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.l9-ws9.dat,1024,576,294912,87230,0.29578315,10.975972,120,
ok,zlib,l9-ws12,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.l9-ws12.dat,1024,576,294912,83576,0.28339301,22.210368,120,
ok,zlib,l9-ws15,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray16.1024x576.zlib.l9-ws15.dat,1024,576,294912,81976,0.27796766,131.26068,120,
ok,zlib,current,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.zlib.current.dat,1024,576,147456,45850,0.31094021,7.67256,120,
ok,zlib,l9-ws9,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.zlib.l9-ws9.dat,1024,576,147456,47408,0.32150608,6.212613,120,
ok,zlib,l9-ws12,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.bs-od,/mnt/n/Personal/opendisplay-work/compression_benchmark/image_sources/generated/1024x576/menu-board-text-heavy.gray4.1024x576.zlib.l9-ws12.dat,1024,576,147456,45808,0.31065538,17.92499,120,
